backend,category,shape,cpu_threads,cpu_total_ms,gpu_total_ms,gpu_speedup_x,cpu_gflops,gpu_gflops,cpu_cv_percent,gpu_cv_percent,cpu_active_threads_mode,cpu_schedule
T-MAC W3A16,Medium Square,1024x1024x1024,1,24.440586,0.055104,443.535605,87.865473,38971.465738,4.842092,0.969268,1,"unstable: bm=384,bn=8,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W3A16,Medium Square,1024x1024x1024,2,18.704714,0.055104,339.443852,114.809756,38971.465738,0.386340,0.969268,2,"unstable: bm=192,bn=16,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W3A16,Medium Square,1024x1024x1024,4,9.157900,0.055104,166.193017,234.495206,38971.465738,0.350923,0.969268,4,"unstable: bm=384,bn=16,kfactor=16 (2/5), 3 schedule(s)"
T-MAC W3A16,Medium Square,1024x1024x1024,8,9.266275,0.055104,168.159752,231.752635,38971.465738,0.196781,0.969268,8,"unstable: bm=384,bn=64,kfactor=16 (1/5), 5 schedule(s)"
T-MAC W3A16,Medium Square,1024x1024x1024,16,7.717369,0.055104,140.050976,278.266291,38971.465738,2.734831,0.969268,16,"unstable: bm=192,bn=8,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W3A16,Large Square,4096x4096x4096,1,1525.537472,1.985536,768.325264,90.092152,69220.076328,0.468809,0.020225,1,"mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W3A16,Large Square,4096x4096x4096,2,1155.878909,1.985536,582.149560,118.904283,69220.076328,0.360070,0.020225,2,"unstable: bm=192,bn=8,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W3A16,Large Square,4096x4096x4096,4,535.192432,1.985536,269.545570,256.802872,69220.076328,1.573727,0.020225,4,"mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W3A16,Large Square,4096x4096x4096,8,527.235345,1.985536,265.538044,260.678566,69220.076328,0.359485,0.020225,8,"mostly stable: bm=192,bn=16,kfactor=16 (3/5), 2 schedule(s)"
T-MAC W3A16,Large Square,4096x4096x4096,16,398.961016,1.985536,200.933660,344.492188,69220.076328,0.210017,0.020225,16,"mostly stable: bm=192,bn=16,kfactor=16 (3/5), 2 schedule(s)"
T-MAC W3A16,Rectangular,4096x1024x2048,1,190.971060,0.277504,688.174080,89.960590,61908.546125,0.594417,0.000000,1,"mostly stable: bm=192,bn=32,kfactor=16 (4/5), 2 schedule(s)"
T-MAC W3A16,Rectangular,4096x1024x2048,2,143.352917,0.277504,516.579642,119.843178,61908.546125,0.549811,0.000000,2,"mostly stable: bm=192,bn=32,kfactor=16 (4/5), 2 schedule(s)"
T-MAC W3A16,Rectangular,4096x1024x2048,4,67.211462,0.277504,242.199975,255.609217,61908.546125,0.847018,0.000000,4,"mostly stable: bm=192,bn=32,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W3A16,Rectangular,4096x1024x2048,8,66.219955,0.277504,238.627029,259.436437,61908.546125,0.174060,0.000000,8,"mostly stable: bm=192,bn=16,kfactor=16 (4/5), 2 schedule(s)"
T-MAC W3A16,Rectangular,4096x1024x2048,16,50.788347,0.277504,183.018432,338.263996,61908.546125,0.838249,0.000000,16,"unstable: bm=384,bn=8,kfactor=16 (1/5), 5 schedule(s)"
T-MAC W3A16,Medium Rectangular,1024x1024x512,1,12.423117,0.032768,379.123444,86.430952,32768.000000,0.173822,0.000000,1,"mostly stable: bm=768,bn=16,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W3A16,Medium Rectangular,1024x1024x512,2,9.499478,0.032768,289.901062,113.031666,32768.000000,0.299154,0.000000,2,"unstable: bm=768,bn=16,kfactor=16 (1/5), 5 schedule(s)"
T-MAC W3A16,Medium Rectangular,1024x1024x512,4,4.643847,0.032768,141.718964,231.218174,32768.000000,0.239048,0.000000,4,"mostly stable: bm=768,bn=32,kfactor=16 (3/5), 2 schedule(s)"
T-MAC W3A16,Medium Rectangular,1024x1024x512,8,4.674270,0.032768,142.647400,229.713265,32768.000000,0.272679,0.000000,8,"unstable: bm=192,bn=16,kfactor=16 (2/5), 3 schedule(s)"
T-MAC W3A16,Medium Rectangular,1024x1024x512,16,3.791776,0.032768,115.715820,283.176491,32768.000000,0.478260,0.000000,16,"unstable: bm=384,bn=64,kfactor=16 (1/5), 5 schedule(s)"
T-MAC W4A16,Small Square,256x256x256,1,0.580571,0.006912,83.994647,57.795570,4854.518519,0.209160,6.813969,1,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W4A16,Small Square,256x256x256,2,0.455328,0.006912,65.875000,73.692881,4854.518519,0.227674,6.813969,2,"unstable: bm=512,bn=32,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W4A16,Small Square,256x256x256,4,0.249835,0.006912,36.145110,134.306370,4854.518519,0.426258,6.813969,4,"unstable: bm=128,bn=32,kfactor=16 (1/5), 5 schedule(s)"
T-MAC W4A16,Small Square,256x256x256,8,0.253265,0.006912,36.641348,132.487442,4854.518519,0.498464,6.813969,8,"unstable: bm=256,bn=64,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W4A16,Small Square,256x256x256,16,0.241894,0.006912,34.996238,138.715437,4854.518519,1.238269,6.813969,16,"unstable: bm=512,bn=16,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W4A16,Medium Square,1024x1024x1024,1,31.985418,0.055104,580.455466,67.139459,38971.465738,0.355542,0.969268,1,"unstable: bm=128,bn=64,kfactor=16 (2/5), 3 schedule(s)"
T-MAC W4A16,Medium Square,1024x1024x1024,2,24.275236,0.055104,440.534916,88.463966,38971.465738,0.236351,0.969268,2,"stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)"
T-MAC W4A16,Medium Square,1024x1024x1024,4,11.834163,0.055104,214.760507,181.464768,38971.465738,1.042667,0.969268,4,"stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)"
T-MAC W4A16,Medium Square,1024x1024x1024,8,11.835765,0.055104,214.789580,181.440207,38971.465738,0.213558,0.969268,8,"mostly stable: bm=128,bn=32,kfactor=16 (3/5), 2 schedule(s)"
T-MAC W4A16,Medium Square,1024x1024x1024,16,9.646320,0.055104,175.056620,222.622062,38971.465738,1.405167,0.969268,16,"mostly stable: bm=128,bn=8,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W4A16,Large Square,4096x4096x4096,1,2094.387532,1.985536,1054.822240,65.622504,69220.076328,0.204627,0.020225,1,"stable: bm=256,bn=64,kfactor=16 (5/5), 1 schedule(s)"
T-MAC W4A16,Large Square,4096x4096x4096,2,1590.032280,1.985536,800.807580,86.437839,69220.076328,0.914005,0.020225,2,"mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W4A16,Large Square,4096x4096x4096,4,735.157922,1.985536,370.256657,186.951605,69220.076328,0.149094,0.020225,4,"mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)"
