backend,dtype,category,shape,threads,runs,total_mean_ms,total_median_ms,total_std_ms,total_min_ms,total_max_ms,cv_percent,gflops_mean,gflops_median,checksum_min,checksum_max,autotuned,active_threads_mode,schedule,schedule_unique_count,schedule_mode_count
T-MAC W2A16,W2A16,Medium Rectangular,1024x1024x512,8,5,3.319751,3.320383,0.007258,3.309963,3.329740,0.218623,323.441668,323.378907,2323.015077,2323.015077,True,8,"unstable: bm=128,bn=16,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W2A16,W2A16,Medium Rectangular,1024x1024x512,16,5,2.741904,2.744914,0.004231,2.736992,2.745105,0.154319,391.605231,391.175033,2323.015077,2323.015077,True,16,"mostly stable: bm=128,bn=32,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Small Square,256x256x256,1,5,0.459209,0.459788,0.001209,0.457758,0.460369,0.263315,73.070535,72.978051,1700.125044,1700.125044,True,1,"unstable: bm=192,bn=64,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W3A16,W3A16,Small Square,256x256x256,2,5,0.360186,0.359716,0.000772,0.359556,0.361116,0.214244,93.158862,93.280343,1700.125044,1700.125044,True,2,"mostly stable: bm=192,bn=64,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Small Square,256x256x256,4,5,0.206880,0.207024,0.000989,0.205744,0.208204,0.478094,162.195694,162.079913,1700.125044,1700.125044,True,4,"mostly stable: bm=192,bn=64,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Small Square,256x256x256,8,5,0.208544,0.208994,0.001021,0.207314,0.209624,0.489818,160.901819,160.552131,1700.125044,1700.125044,True,4,"stable: bm=192,bn=64,kfactor=16 (5/5), 1 schedule(s)",1,5
T-MAC W3A16,W3A16,Small Square,256x256x256,16,5,0.222792,0.213594,0.016514,0.207344,0.241095,7.412158,151.258717,157.094450,1700.125044,1700.125044,True,16,"mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,1,5,24.962295,24.440586,1.208697,24.362461,27.123592,4.842092,86.180902,87.865473,-5410.264071,-5410.264071,True,1,"unstable: bm=384,bn=8,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,2,5,18.692156,18.704714,0.072215,18.575373,18.774661,0.386340,114.888267,114.809756,-5410.264071,-5410.264071,True,2,"unstable: bm=192,bn=16,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,4,5,9.159440,9.157900,0.032143,9.116633,9.192974,0.350923,234.458086,234.495206,-5410.264071,-5410.264071,True,4,"unstable: bm=384,bn=16,kfactor=16 (2/5), 3 schedule(s)",3,2
